,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
45,2012-10-04 00:00:00+00:00,260.47,261.52,255.87,256.01,2700400,13.0235,13.076,12.7935,12.8005,54008000,0.0,1.0
46,2012-10-05 00:00:00+00:00,258.51,261.9,257.49,261.2,2806500,12.9255,13.095,12.8745,13.06,56130000,0.0,1.0
47,2012-10-08 00:00:00+00:00,259.06,259.8,255.56,257.67,1762300,12.953,12.99,12.778,12.8835,35246000,0.0,1.0
48,2012-10-09 00:00:00+00:00,250.96,259.35,250.73,258.67,3494800,12.548,12.9675,12.5365,12.9335,69896000,0.0,1.0
49,2012-10-10 00:00:00+00:00,244.99,252.46,244.01,252.0,3948300,12.2495,12.623,12.2005,12.6,78966000,0.0,1.0
50,2012-10-11 00:00:00+00:00,244.22,249.3,241.89,248.0,3447300,12.211,12.465,12.0945,12.4,68946000,0.0,1.0
51,2012-10-12 00:00:00+00:00,242.36,245.46,241.91,243.33,2203200,12.118,12.273,12.0955,12.1665,44064000,0.0,1.0
52,2012-10-15 00:00:00+00:00,244.18,244.776,238.51,242.85,2959800,12.209,12.2388,11.9255,12.1425,59196000,0.0,1.0
53,2012-10-16 00:00:00+00:00,243.94,245.77,242.08,244.87,2204100,12.197,12.2885,12.104,12.2435,44082000,0.0,1.0
54,2012-10-17 00:00:00+00:00,247.49,248.7999,243.3,243.37,3302700,12.3745,12.439995,12.165,12.1685,66054000,0.0,1.0
55,2012-10-18 00:00:00+00:00,244.85,250.91,242.7,247.77,5305300,12.2425,12.5455,12.135,12.3885,106106000,0.0,1.0
56,2012-10-19 00:00:00+00:00,240.0,246.82,238.94,245.16,4395300,12.0,12.341,11.947,12.258,87906000,0.0,1.0
57,2012-10-22 00:00:00+00:00,233.78,238.95,232.32,238.81,4500000,11.689,11.9475,11.616,11.9405,90000000,0.0,1.0
58,2012-10-23 00:00:00+00:00,234.31,236.5,230.01,231.05,4430800,11.7155,11.825,11.5005,11.5525,88616000,0.0,1.0
59,2012-10-24 00:00:00+00:00,228.49,235.94,227.9501,235.88,3678700,11.4245,11.797,11.397505,11.794,73574000,0.0,1.0
60,2012-10-25 00:00:00+00:00,222.92,230.92,222.92,230.92,6741300,11.146,11.546,11.146,11.546,134826000,0.0,1.0
61,2012-10-26 00:00:00+00:00,238.24,238.71,226.69,228.6001,11367500,11.912,11.9355,11.3345,11.430005,227350000,0.0,1.0
62,2012-10-31 00:00:00+00:00,232.8931,238.7,230.5,236.32,4797600,11.644655,11.935,11.525,11.816,95952000,0.0,1.0
63,2012-11-01 00:00:00+00:00,232.14,234.55,231.34,234.23,3905100,11.607,11.7275,11.567,11.7115,78102000,0.0,1.0
